Division,GameDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeShotsHitFrame,AwayShotsHitFrame,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeOffSides,AwayOffSides,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HomeBookingPoints_Y5_R10,AwayBookingPoints_Y5_R10
,09/08/19,Liverpool,Norwich,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/19,Liverpool,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/19,Liverpool,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,
,05/10/19,Liverpool,Leicester,,,,,,,,,,,,,,,,,,,,,,,,
,27/10/19,Liverpool,Spurs,,,,,,,,,,,,,,,,,,,,,,,,
,09/11/19,Liverpool,Man City,,,,,,,,,,,,,,,,,,,,,,,,
,30/11/19,Liverpool,Brighton,,,,,,,,,,,,,,,,,,,,,,,,
,04/12/19,Liverpool,Everton,,,,,,,,,,,,,,,,,,,,,,,,
,14/12/19,Liverpool,Watford,,,,,,,,,,,,,,,,,,,,,,,,
,28/12/19,Liverpool,Wolves,,,,,,,,,,,,,,,,,,,,,,,,
,01/01/20,Liverpool,Sheffield Utd,,,,,,,,,,,,,,,,,,,,,,,,
,18/01/20,Liverpool,Man Utd,,,,,,,,,,,,,,,,,,,,,,,,
,01/02/20,Liverpool,Southampton,,,,,,,,,,,,,,,,,,,,,,,,
,22/02/20,Liverpool,West Ham,,,,,,,,,,,,,,,,,,,,,,,,
,07/03/20,Liverpool,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,
,21/03/20,Liverpool,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,
,11/04/20,Liverpool,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,
,25/04/20,Liverpool,Burnley,,,,,,,,,,,,,,,,,,,,,,,,
,09/05/20,Liverpool,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/19,Southampton,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/19,Burnley,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,22/09/19,Chelsea,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/19,Sheffield Utd,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,20/10/19,Man Utd,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,02/11/19,Aston Villa,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,23/11/19,Crystal Palace,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,07/12/19,Bournemouth,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,21/12/19,West Ham,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,26/12/19,Leicester,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,11/01/20,Spurs,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,21/01/20,Wolves,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,08/02/20,Norwich,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,29/02/20,Watford,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/20,Everton,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,04/04/20,Man City,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,18/04/20,Brighton,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,02/05/20,Arsenal,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
,17/05/20,Newcastle,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
